gene,score,tier,modalities,mutated,tpm,surface,n_drugs,top_drugs,civic_levels,civic_therapies,cosmic_role,n_trials,driver,evidence_summary
PTEN,13,A,5,,106.6,YES,149,"BUPARLISIB, PP-242, PANITUMUMAB","B,C,D","Everolimus, Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitor",TSG,1,YES,"Overexpressed (107 TPM, p97) | Surface protein (HPA) | Druggable (149 drugs) | CIViC (60 items, levels B,C,D) | COSMIC (TSG) | Known Osteosarcoma driver | 1 recruiting trial(s)"
CTNNB1,12,A,5,,1234.3,YES,62,"PP1, PF-670462, MPI-0479605","B,C,D","Anti-CTLA-4 Monoclonal Antibody, Anti-PD-L1 Monoclonal Antibody, Meloxicam","oncogene, fusion",2,,"Overexpressed (1234 TPM, p100) | Surface protein (HPA) | Druggable (62 drugs) | CIViC (15 items, levels B,C,D) | COSMIC (oncogene, fusion) | 2 recruiting trial(s)"
PDGFRA,12,A,5,,318.4,YES,60,"IMATINIB, TOVETUMAB, DASATINIB ANHYDROUS","B,C,D","Sunitinib, Crenolanib","oncogene, fusion",2,,"Overexpressed (318 TPM, p99) | Surface protein (HPA) | Druggable (60 drugs) | CIViC (30 items, levels B,C,D) | COSMIC (oncogene, fusion) | 2 recruiting trial(s)"
CALR,11,A,4,,971.9,YES,8,"TRETINOIN, PEGINTERFERON ALFA-2A, ANGIOGENESIS INHIBITOR","A,B",Peginterferon Alfa-2a,oncogene,0,,"Overexpressed (972 TPM, p100) | Surface protein (HPA) | Druggable (8 drugs) | CIViC (4 items, levels A,B) | COSMIC (oncogene)"
GNAS,11,A,4,,216.6,YES,15,"AMITRIPTYLINE HYDROCHLORIDE, FLUOROURACIL, NICLOSAMIDE","B,C","Radioactive Iodine, Cisplatin, Fluorouracil",oncogene,0,,"Overexpressed (217 TPM, p99) | Surface protein (HPA) | Druggable (15 drugs) | CIViC (11 items, levels B,C) | COSMIC (oncogene)"
IGF1R,11,A,4,,170.0,YES,48,"MECASERMIN, AEW-541, ERLOTINIB","B,D","Gefitinib, IGF1R Monoclonal Antibody",,1,,"Overexpressed (170 TPM, p98) | Surface protein (HPA) | Druggable (48 drugs) | CIViC (3 items, levels B,D) | 1 recruiting trial(s)"
SF3B1,11,A,4,,345.4,YES,3,"H3B-8800, ETOPOSIDE, OLAPARIB","A,B,D","Spliceostatin A, Olaparib, Etoposide",oncogene,0,,"Overexpressed (345 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs) | CIViC (8 items, levels A,B,D) | COSMIC (oncogene)"
MDM2,10,A,5,,530.2,,25,"DIPLAMINE B, NUTLIN-3, TCDD",B,"Pemetrexed, Cisplatin",oncogene,4,YES,"Overexpressed (530 TPM, p100) | Druggable (25 drugs) | CIViC (4 items, levels B) | COSMIC (oncogene) | Known Osteosarcoma driver | 4 recruiting trial(s)"
RB1,10,A,5,,140.8,,36,"BAY 61-3606, PALBOCICLIB, TOPOTECAN HYDROCHLORIDE","B,D","Palbociclib, Chemotherapy",TSG,6,YES,"Overexpressed (141 TPM, p98) | Druggable (36 drugs) | CIViC (7 items, levels B,D) | COSMIC (TSG) | Known Osteosarcoma driver | 6 recruiting trial(s)"
HLA-DRA,10,A,3,,1534.4,YES,7,"NIVOLUMAB, CLAVULANIC ACID, FLOXACILLIN",B,"Nivolumab, Pembrolizumab, Atezolizumab",,0,,"Overexpressed (1534 TPM, p100) | Surface protein (HPA) | Druggable (7 drugs) | CIViC (1 items, levels B)"
HSPA5,10,A,3,,1663.7,YES,13,"MIANSERIN, 4-METHYLDAPHNETIN, AG 490",B,Fluorouracil,,0,,"Overexpressed (1664 TPM, p100) | Surface protein (HPA) | Druggable (13 drugs) | CIViC (1 items, levels B)"
ATRX,9,A,4,,196.3,,12,"CISPLATIN, TEMOZOLOMIDE, FLUOROURACIL","B,D","Fluorouracil, Cisplatin, Temozolomide, PCV Regimen",TSG,0,YES,"Overexpressed (196 TPM, p99) | Druggable (12 drugs) | CIViC (5 items, levels B,D) | COSMIC (TSG) | Known Osteosarcoma driver"
B2M,9,A,4,,1190.8,YES,4,"THYROGLOBULIN, AMIKACIN, ANTI-PD-L1 MONOCLONAL ANTIBODY",C,Pembrolizumab,TSG,0,,"Overexpressed (1191 TPM, p100) | Surface protein (HPA) | Druggable (4 drugs) | CIViC (1 items, levels C) | COSMIC (TSG)"
CSF1R,9,A,4,,188.0,YES,52,"CEDIRANIB, CABIRALIZUMAB, PEXIDARTINIB",,,oncogene,2,,"Overexpressed (188 TPM, p99) | Surface protein (HPA) | Druggable (52 drugs) | COSMIC (oncogene) | 2 recruiting trial(s)"
PDGFRB,9,A,4,,168.2,YES,78,"IMATINIB, REGORAFENIB, PETROSIOL A",C,Sunitinib,"oncogene, fusion",0,,"Overexpressed (168 TPM, p98) | Surface protein (HPA) | Druggable (78 drugs) | CIViC (1 items, levels C) | COSMIC (oncogene, fusion)"
PTPRD,9,A,4,,371.7,YES,8,"TRANDOLAPRIL, TEPROTUMUMAB, ANTIHYPERTENSIVE AGENT","C,D","JSI-124, Cixutumumab, Teprotumumab",TSG,0,,"Overexpressed (372 TPM, p100) | Surface protein (HPA) | Druggable (8 drugs) | CIViC (2 items, levels C,D) | COSMIC (TSG)"
RHOA,9,A,4,,183.5,YES,7,"QUINIDINE, PRAVASTATIN SODIUM, NS004",E,,"oncogene, TSG",0,,"Overexpressed (183 TPM, p99) | Surface protein (HPA) | Druggable (7 drugs) | CIViC (1 items, levels E) | COSMIC (oncogene, TSG)"
EDNRB,9,A,3,YES,73.1,YES,14,"ENDOTHELIN-1, ENRASENTAN, MACITENTAN",,,,0,,"Mutated (MODERATE) | Overexpressed (73 TPM, p96) | Surface protein (HPA) | Druggable (14 drugs)"
CDKN2A,8,A,4,,0.5,,28,"RIBOCICLIB, PACLITAXEL, ULIXERTINIB","A,B,C,D","Palbociclib, Alvocidib",TSG,4,YES,"Druggable (28 drugs) | CIViC (27 items, levels A,B,C,D) | COSMIC (TSG) | Known Osteosarcoma driver | 4 recruiting trial(s)"
TP53,8,A,4,,40.2,,364,"VEMURAFENIB, CHK1 INHIBITOR GDC-0575, FENTICLOR","B,D,E","Carboplatin, Cisplatin, Tamoxifen","oncogene, TSG, fusion",6,YES,"Expressed (40 TPM) | Druggable (364 drugs) | CIViC (52 items, levels B,D,E) | COSMIC (oncogene, TSG, fusion) | Known Osteosarcoma driver | 6 recruiting trial(s)"
